tanggal,kasus,meninggal,sembuh,akumulasi_kasus,akumulasi_sembuh,akumulasi_meninggal
2020-03-03,1,1,0,1,0,1
2020-03-04,1,0,0,2,0,1
2020-03-05,1,0,0,3,0,1
2020-03-06,1,0,0,4,0,1
2020-03-07,0,0,0,4,0,1
2020-03-08,0,0,0,4,0,1
2020-03-09,0,0,0,4,0,1
2020-03-10,0,0,0,4,0,1
2020-03-11,0,1,0,4,0,2
2020-03-12,1,0,0,5,0,2
2020-03-13,4,0,1,9,1,2
2020-03-14,0,0,0,9,1,2
2020-03-15,0,0,2,9,3,2
2020-03-16,0,0,2,9,5,2
2020-03-17,11,0,0,20,5,2
2020-03-18,4,1,2,24,7,3
2020-03-19,5,1,1,29,8,4
2020-03-20,16,4,0,45,8,8
2020-03-21,5,0,0,50,8,8
2020-03-22,3,3,1,53,9,11
2020-03-23,6,4,0,59,9,15
2020-03-24,2,2,2,61,11,17
2020-03-25,5,0,1,66,12,17
2020-03-26,5,1,0,71,12,18
2020-03-27,16,3,1,87,13,21
2020-03-28,19,3,1,106,14,24
2020-03-29,27,3,3,133,17,27
2020-03-30,19,3,5,152,22,30
2020-03-31,7,0,3,159,25,30
2020-04-01,20,1,2,179,27,31
2020-04-02,15,5,1,194,28,36
2020-04-03,2,1,2,196,30,37
2020-04-04,20,4,2,216,32,41
2020-04-05,6,2,1,222,33,43
2020-04-06,10,3,4,232,37,46
2020-04-07,76,3,2,308,39,49
2020-04-08,22,5,4,330,43,54
2020-04-09,12,6,4,342,47,60
2020-04-10,10,0,1,352,48,60
2020-04-11,29,4,4,381,52,64
2020-04-12,17,4,2,398,54,68
2020-04-13,59,3,1,457,55,71
2020-04-14,4,1,5,461,60,72
2020-04-15,30,0,2,491,62,72
2020-04-16,7,1,13,498,75,73
2020-04-17,42,4,17,540,92,77
2020-04-18,11,0,4,551,96,77
2020-04-19,50,1,13,601,109,78
2020-04-20,7,4,5,608,114,82
2020-04-21,8,6,24,616,138,88
2020-04-22,4,1,3,620,141,89
2020-04-23,18,4,14,638,155,93
2020-04-24,71,2,4,709,159,95
2020-04-25,18,0,6,727,165,95
2020-04-26,10,0,2,737,167,95
2020-04-27,34,1,8,771,175,96
2020-04-28,1,1,8,772,183,97
2020-04-29,20,0,13,792,196,97
2020-04-30,1,5,28,793,224,102
2020-05-01,1,4,4,794,228,106
2020-05-02,32,2,4,826,232,108
2020-05-03,11,1,6,837,238,109
2020-05-04,179,2,12,1016,250,111
2020-05-05,40,1,4,1056,254,112
2020-05-06,6,2,11,1062,265,114
2020-05-07,43,0,10,1105,275,114
2020-05-08,608,2,5,1713,280,116
2020-05-09,35,3,27,1748,307,119
2020-05-10,3,0,6,1751,313,119
2020-05-11,58,4,16,1809,329,123
2020-05-12,50,0,9,1859,338,123
2020-05-13,7,0,31,1866,369,123
2020-05-14,12,1,16,1878,385,124
2020-05-15,36,2,29,1914,414,126
2020-05-16,17,0,10,1931,424,126
2020-05-17,52,3,50,1983,474,129
2020-05-18,26,9,82,2009,556,138
2020-05-19,25,1,21,2034,577,139
2020-05-20,120,0,12,2154,589,139
2020-05-21,63,1,17,2217,606,140
2020-05-22,67,2,24,2284,630,142
2020-05-23,64,0,9,2348,639,142
2020-05-24,32,1,11,2380,650,143
2020-05-25,16,0,6,2396,656,143
2020-05-26,33,4,19,2429,675,147
2020-05-27,30,6,46,2459,721,153
2020-05-28,40,0,25,2499,746,153
2020-05-29,56,1,21,2555,767,154
2020-05-30,33,0,9,2588,776,154
2020-05-31,10,0,4,2598,780,154
2020-06-01,8,0,4,2606,784,154
2020-06-02,26,4,45,2632,829,158
2020-06-03,3,3,43,2635,872,161
2020-06-04,11,1,26,2646,898,162
2020-06-05,22,1,37,2668,935,163
2020-06-06,8,0,17,2676,952,163
2020-06-07,34,0,18,2710,970,163
2020-06-08,26,3,81,2736,1051,166
2020-06-09,26,0,15,2762,1066,166
2020-06-10,49,0,44,2811,1110,166
2020-06-11,36,0,28,2847,1138,166
2020-06-12,20,0,53,2867,1191,166
2020-06-13,23,1,47,2890,1238,167
2020-06-14,22,0,10,2912,1248,167
2020-06-15,41,1,13,2953,1261,168
2020-06-16,25,0,30,2978,1291,168
2020-06-17,39,7,33,3017,1324,175
2020-06-18,55,0,16,3072,1340,175
2020-06-19,64,0,38,3136,1378,175
2020-06-20,19,1,7,3155,1385,176
2020-06-21,26,0,4,3181,1389,176
2020-06-22,31,0,30,3212,1419,176
2020-06-23,50,0,20,3262,1439,176
2020-06-24,50,0,22,3312,1461,176
2020-06-25,59,2,65,3371,1526,178
2020-06-26,39,2,121,3410,1647,180
2020-06-27,19,0,21,3429,1668,180
2020-06-28,28,1,9,3457,1677,181
2020-06-29,65,0,15,3522,1692,181
2020-06-30,43,1,44,3565,1736,182
2020-07-01,68,0,9,3633,1745,182
2020-07-02,63,0,43,3696,1788,182
2020-07-03,37,0,12,3733,1800,182
2020-07-04,83,0,27,3816,1827,182
2020-07-05,108,1,13,3924,1840,183
2020-07-06,128,0,27,4052,1867,183
2020-07-07,102,2,69,4154,1936,185
2020-07-08,103,1,7,4257,1943,186
2020-07-09,972,4,38,5229,1981,190
2020-07-10,118,0,51,5347,2032,190
2020-07-11,73,1,19,5420,2051,191
2020-07-12,45,0,9,5465,2060,191
2020-07-13,76,0,34,5541,2094,191
2020-07-14,62,1,44,5603,2138,192
2020-07-15,80,2,127,5683,2265,194
2020-07-16,55,1,28,5738,2293,195
2020-07-17,57,2,46,5795,2339,197
2020-07-18,67,1,22,5862,2361,198
2020-07-19,24,0,6,5886,2367,198
2020-07-20,63,1,67,5949,2434,199
2020-07-21,63,4,56,6012,2490,203
2020-07-22,45,0,34,6057,2524,203
2020-07-23,53,1,56,6110,2580,204
2020-07-24,100,2,21,6210,2601,206
2020-07-25,66,0,39,6276,2640,206
2020-07-26,59,1,26,6335,2666,207
2020-07-27,58,1,419,6393,3085,208
2020-07-28,158,0,628,6551,3713,208
2020-07-29,120,3,63,6671,3776,211
2020-07-30,131,6,346,6802,4122,217
2020-07-31,48,0,19,6850,4141,217
2020-08-01,65,0,21,6915,4162,217
2020-08-02,79,2,14,6994,4176,219
2020-08-03,68,0,26,7062,4202,219
2020-08-04,122,0,87,7184,4289,219
2020-08-05,140,1,17,7324,4306,220
2020-08-06,89,1,43,7413,4349,221
2020-08-07,148,4,50,7561,4399,225
2020-08-08,247,5,52,7808,4451,230
2020-08-09,177,5,55,7985,4506,235
2020-08-10,96,0,45,8081,4551,235
2020-08-11,106,4,36,8187,4587,239
2020-08-12,125,1,80,8312,4667,240
2020-08-13,176,3,18,8488,4685,243
2020-08-14,290,3,28,8778,4713,246
2020-08-15,266,0,49,9044,4762,246
2020-08-16,72,4,50,9116,4812,250
2020-08-17,61,0,54,9177,4866,250
2020-08-18,92,2,36,9269,4902,252
2020-08-19,116,6,74,9385,4976,258
2020-08-20,223,4,76,9608,5052,262
2020-08-21,85,11,142,9693,5194,273
2020-08-22,193,2,124,9886,5318,275
2020-08-23,78,3,505,9964,5823,278
2020-08-24,139,3,238,10103,6061,281
2020-08-25,271,2,58,10374,6119,283
2020-08-26,178,0,54,10552,6173,283
2020-08-27,183,1,127,10735,6300,284
2020-08-28,583,4,108,11318,6408,288
2020-08-29,297,1,45,11615,6453,289
2020-08-30,96,1,26,11711,6479,290
2020-08-31,177,13,117,11888,6596,303
2020-09-01,273,1,75,12161,6671,304
2020-09-02,192,3,169,12353,6840,307
2020-09-03,214,6,81,12567,6921,313
2020-09-04,412,2,104,12979,7025,315
2020-09-05,232,1,69,13211,7094,316
2020-09-06,114,1,61,13325,7155,317
2020-09-07,206,6,138,13531,7293,323
2020-09-08,351,5,96,13882,7389,328
2020-09-09,322,7,80,14204,7469,335
2020-09-10,380,1,23,14584,7492,336
2020-09-11,268,3,101,14852,7593,339
2020-09-12,309,3,367,15161,7960,342
2020-09-13,147,2,158,15308,8118,344
2020-09-14,207,3,212,15515,8330,347
2020-09-15,449,10,280,15964,8610,357
2020-09-16,350,2,285,16314,8895,359
2020-09-17,406,7,359,16720,9254,366
2020-09-18,486,5,263,17206,9517,371
2020-09-19,498,0,570,17704,10087,371
2020-09-20,466,9,475,18170,10562,380
2020-09-21,481,4,333,18651,10895,384
2020-09-22,623,6,284,19274,11179,390
2020-09-23,497,17,203,19771,11382,407
2020-09-24,751,15,311,20522,11693,422
2020-09-25,464,9,889,20986,12582,431
2020-09-26,425,14,439,21411,13021,445
2020-09-27,498,2,280,21909,13301,447
2020-09-28,559,5,365,22468,13666,452
2020-09-29,434,15,210,22902,13876,467
2020-09-30,547,17,310,23449,14186,484
2020-10-01,582,18,197,24031,14383,502
2020-10-02,646,15,275,24677,14658,517
2020-10-03,409,15,231,25086,14889,532
2020-10-04,310,14,150,25396,15039,546
2020-10-05,606,19,880,26002,15919,565
2020-10-06,566,19,272,26568,16191,584
2020-10-07,810,20,457,27378,16648,604
2020-10-08,618,7,340,27996,16988,611
2020-10-09,520,3,513,28516,17501,614
2020-10-10,282,6,388,28798,17889,620
2020-10-11,247,5,472,29045,18361,625
2020-10-12,276,9,406,29321,18767,634
2020-10-13,604,3,594,29925,19361,637
2020-10-14,467,14,609,30392,19970,651
2020-10-15,597,10,385,30989,20355,661
2020-10-16,507,1,455,31496,20810,662
2020-10-17,491,3,538,31987,21348,665
2020-10-18,270,1,378,32257,21726,666
2020-10-19,541,6,407,32798,22133,672
2020-10-20,487,11,260,33285,22393,683
2020-10-21,597,12,422,33882,22815,695
2020-10-22,761,7,215,34643,23030,702
2020-10-23,505,2,341,35148,23371,704
2020-10-24,402,4,612,35550,23983,708
2020-10-25,398,3,434,35948,24417,711
2020-10-26,464,15,412,36412,24829,726
2020-10-27,424,17,706,36836,25535,743
2020-10-28,427,10,492,37263,26027,753
2020-10-29,425,2,423,37688,26450,755
2020-10-30,354,4,452,38042,26902,759
2020-10-31,469,3,368,38511,27270,762
2020-11-01,239,2,584,38750,27854,764
2020-11-02,325,13,375,39075,28229,777
2020-11-03,517,3,428,39592,28657,780
2020-11-04,571,4,269,40163,28926,784
2020-11-05,667,4,405,40830,29331,788
2020-11-06,628,3,430,41458,29761,791
2020-11-07,444,4,441,41902,30202,795
2020-11-08,510,4,568,42412,30770,799
2020-11-09,328,5,854,42740,31624,804
2020-11-10,792,9,926,43532,32550,813
2020-11-11,665,5,441,44197,32991,818
2020-11-12,832,22,592,45029,33583,840
2020-11-13,788,10,406,45817,33989,850
2020-11-14,887,5,434,46704,34423,855
2020-11-15,447,2,859,47151,35282,857
2020-11-16,629,21,613,47780,35895,878
2020-11-17,880,26,853,48660,36748,904
2020-11-18,512,5,845,49172,37593,909
2020-11-19,580,14,586,49752,38179,923
2020-11-20,1028,3,188,50780,38367,926
2020-11-21,474,6,636,51254,39003,932
2020-11-22,498,5,215,51752,39218,937
2020-11-23,718,2,897,52470,40115,939
2020-11-24,506,7,518,52976,40633,946
2020-11-25,815,13,784,53791,41417,959
2020-11-26,828,10,943,54619,42360,969
2020-11-27,758,7,759,55377,43119,976
2020-11-28,510,7,1012,55887,44131,983
2020-11-29,354,13,877,56241,45008,996
2020-11-30,525,13,844,56766,45852,1009
2020-12-01,971,23,1025,57737,46877,1032
2020-12-02,748,9,400,58485,47277,1041
2020-12-03,1724,26,987,60209,48264,1067
2020-12-04,1075,5,964,61284,49228,1072
2020-12-05,907,3,733,62191,49961,1075
2020-12-06,1356,10,1246,63547,51207,1085
2020-12-07,1163,15,1246,64710,52453,1100
2020-12-08,898,12,602,65608,53055,1112
2020-12-09,1061,21,600,66669,53655,1133
2020-12-10,977,37,742,67646,54397,1170
2020-12-11,1194,28,874,68840,55271,1198
2020-12-12,1287,9,905,70127,56176,1207
2020-12-13,892,9,489,71019,56665,1216
2020-12-14,730,18,1015,71749,57680,1234
2020-12-15,1413,16,1224,73162,58904,1250
2020-12-16,1495,13,1052,74657,59956,1263
2020-12-17,1175,21,872,75832,60828,1284
2020-12-18,1335,11,1003,77167,61831,1295
2020-12-19,888,3,884,78055,62715,1298
2020-12-20,1208,8,1173,79263,63888,1306
2020-12-21,878,9,868,80141,64756,1315
2020-12-22,1060,8,762,81201,65518,1323
2020-12-23,781,10,1075,81982,66593,1333
2020-12-24,1004,19,757,82986,67350,1352
2020-12-25,1223,5,637,84209,67987,1357
2020-12-26,470,6,959,84679,68946,1363
2020-12-27,1211,49,1246,85890,70192,1412
2020-12-28,525,4,827,86415,71019,1416
2020-12-29,1298,8,1231,87713,72250,1424
2020-12-30,1243,6,1370,88956,73620,1430
2020-12-31,1260,16,1300,90216,74920,1446
2021-01-01,1376,15,955,91592,75875,1461
2021-01-02,1214,7,1150,92806,77025,1468
2021-01-03,916,7,825,93722,77850,1475
2021-01-04,1224,8,1066,94946,78916,1483
2021-01-05,1203,12,1024,96149,79940,1495
2021-01-06,1255,19,1594,97404,81534,1514
2021-01-07,1203,5,1136,98607,82670,1519
2021-01-08,1775,10,916,100382,83586,1529
2021-01-09,1628,9,1139,102010,84725,1538
2021-01-10,1341,9,969,103351,85694,1547
2021-01-11,1295,14,1229,104646,86923,1561
2021-01-12,1757,21,1280,106403,88203,1582
2021-01-13,1483,17,1356,107886,89559,1599
2021-01-14,2107,14,863,109993,90422,1613
2021-01-15,1240,16,1120,111233,91542,1629
2021-01-16,1800,10,528,113033,92070,1639
2021-01-17,1489,11,512,114522,92582,1650
2021-01-18,1774,29,1082,116296,93664,1679
2021-01-19,1800,23,1290,118096,94954,1702
2021-01-20,1909,17,1505,120005,96459,1719
2021-01-21,1721,77,1682,121726,98141,1796
2021-01-22,2767,14,1747,124493,99888,1810
2021-01-23,1742,21,1973,126235,101861,1831
2021-01-24,2388,12,1769,128623,103630,1843
2021-01-25,1757,14,1331,130380,104961,1857
2021-01-26,3836,18,2265,134216,107226,1875
2021-01-27,3686,110,1499,137902,108725,1985
2021-01-28,3997,170,2466,141899,111191,2155
2021-01-29,3674,11,2064,145573,113255,2166
2021-01-30,4841,34,2773,150414,116028,2200
2021-01-31,2643,65,2579,153057,118607,2265
2021-02-01,3031,8,2444,156088,121051,2273
2021-02-02,2258,76,2505,158346,123556,2349
2021-02-03,2634,14,2272,160980,125828,2363
2021-02-04,2116,18,2555,163096,128383,2381
2021-02-05,2385,31,2969,165481,131352,2412
2021-02-06,3982,7,2775,169463,134127,2419
2021-02-07,2276,4,2187,171739,136314,2423
2021-02-08,1647,18,3140,173386,139454,2441
2021-02-09,1092,24,2483,174478,141937,2465
2021-02-10,947,21,1640,175425,143577,2486
2021-02-11,1261,7,1485,176686,145062,2493
2021-02-12,1034,9,1823,177720,146885,2502
2021-02-13,1928,6,2547,179648,149432,2508
2021-02-14,1052,9,1885,180700,151317,2517
2021-02-15,1016,16,1178,181716,152495,2533
2021-02-16,3756,14,2014,185472,154509,2547
2021-02-17,4507,3,2692,189979,157201,2550
2021-02-18,2875,9,3350,192854,160551,2559
2021-02-19,2167,29,2737,195021,163288,2588
2021-02-20,1278,7,1403,196299,164691,2595
2021-02-21,965,8,1518,197264,166209,2603
2021-02-22,2820,20,2973,200084,169182,2623
2021-02-23,4593,29,2070,204677,171252,2652
2021-02-24,2317,10,1599,206994,172851,2662
2021-02-25,2419,4,1337,209413,174188,2666
2021-02-26,2337,11,1012,211750,175200,2677
2021-02-27,1128,12,938,212878,176138,2689
2021-02-28,989,6,732,213867,176870,2695
2021-03-01,1420,10,2068,215287,178938,2705
2021-03-02,1479,24,2322,216766,181260,2729
2021-03-03,1338,15,2505,218104,183765,2744
2021-03-04,1641,19,1441,219745,185206,2763
2021-03-05,1686,13,1432,221431,186638,2776
2021-03-06,1227,4,1298,222658,187936,2780
2021-03-07,1484,4,645,224142,188581,2784
2021-03-08,1604,67,2090,225746,190671,2851
2021-03-09,1763,53,1178,227509,191849,2904
2021-03-10,1480,20,1407,228989,193256,2924
2021-03-11,867,8,1490,229856,194746,2932
2021-03-12,1224,47,1774,231080,196520,2979
2021-03-13,1026,5,1046,232106,197566,2984
2021-03-14,1189,9,935,233295,198501,2993
2021-03-15,1084,23,1694,234379,200195,3016
2021-03-16,1597,21,2289,235976,202484,3037
2021-03-17,1436,12,2052,237412,204536,3049
2021-03-18,1407,8,1402,238819,205938,3057
2021-03-19,1448,13,1173,240267,207111,3070
2021-03-20,934,8,1832,241201,208943,3078
2021-03-21,574,1,1383,241775,210326,3079
2021-03-22,1382,25,1328,243157,211654,3104
2021-03-23,962,11,1597,244119,213251,3115
2021-03-24,1068,3,2634,245187,215885,3118
2021-03-25,1187,8,1328,246374,217213,3126
2021-03-26,991,7,1511,247365,218724,3133
2021-03-27,571,102,1294,247936,220018,3235
2021-03-28,575,5,738,248511,220756,3240
2021-03-29,1373,8,1235,249884,221991,3248
2021-03-30,890,9,958,250774,222949,3257
2021-03-31,971,7,828,251745,223777,3264
2021-04-01,1014,73,1090,252759,224867,3337
2021-04-02,634,4,483,253393,225350,3341
2021-04-03,461,5,585,253854,225935,3346
2021-04-04,350,6,318,254204,226253,3352
2021-04-05,923,4,823,255127,227076,3356
2021-04-06,820,17,803,255947,227879,3373
2021-04-07,927,3,777,256874,228656,3376
2021-04-08,604,13,1290,257478,229946,3389
2021-04-09,959,22,600,258437,230546,3411
2021-04-10,1109,8,517,259546,231063,3419
2021-04-11,763,5,719,260309,231782,3424
2021-04-12,1203,27,369,261512,232151,3451
2021-04-13,1324,21,1031,262836,233182,3472
2021-04-14,1546,18,845,264382,234027,3490
2021-04-15,1353,36,1361,265735,235388,3526
2021-04-16,972,6,703,266707,236091,3532
2021-04-17,894,11,750,267601,236841,3543
2021-04-18,882,11,453,268483,237294,3554
2021-04-19,1295,16,1012,269778,238306,3570
2021-04-20,1415,16,561,271193,238867,3586
2021-04-21,1012,16,1464,272205,240331,3602
2021-04-22,1332,14,755,273537,241086,3616
2021-04-23,1046,26,1061,274583,242147,3642
2021-04-24,753,19,951,275336,243098,3661
2021-04-25,869,10,461,276205,243559,3671
2021-04-26,1611,19,922,277816,244481,3690
2021-04-27,1231,20,846,279047,245327,3710
2021-04-28,1350,14,999,280397,246326,3724
2021-04-29,1157,14,587,281554,246913,3738
2021-04-30,1121,26,838,282675,247751,3764
2021-05-01,782,6,590,283457,248341,3770
2021-05-02,710,9,548,284167,248889,3779
2021-05-03,1179,18,1038,285346,249927,3797
2021-05-04,909,27,1259,286255,251186,3824
2021-05-05,979,26,1376,287234,252562,3850
2021-05-06,1056,7,1501,288290,254063,3857
2021-05-07,1929,25,1221,290219,255284,3882
2021-05-08,2263,5,1963,292482,257247,3887
2021-05-09,516,9,592,292998,257839,3896
2021-05-10,1020,14,2278,294018,260117,3910
2021-05-11,1410,18,1018,295428,261135,3928
2021-05-12,786,23,772,296214,261907,3951
2021-05-13,413,11,628,296627,262535,3962
2021-05-14,594,3,719,297221,263254,3965
2021-05-15,749,8,717,297970,263971,3973
2021-05-16,847,4,439,298817,264410,3977
2021-05-17,1290,26,1253,300107,265663,4003
2021-05-18,1102,36,1423,301209,267086,4039
2021-05-19,1230,9,1408,302439,268494,4048
2021-05-20,1315,14,1254,303754,269748,4062
2021-05-21,1083,17,1488,304837,271236,4079
2021-05-22,1067,16,698,305904,271934,4095
2021-05-23,1048,7,716,306952,272650,4102
2021-05-24,1293,15,1214,308245,273864,4117
2021-05-25,1057,14,988,309302,274852,4131
2021-05-26,772,12,667,310074,275519,4143
2021-05-27,1268,19,1066,311342,276585,4162
2021-05-28,1165,20,934,312507,277519,4182
2021-05-29,964,10,959,313471,278478,4192
2021-05-30,749,11,528,314220,279006,4203
2021-05-31,1185,26,1248,315405,280254,4229
2021-06-01,950,12,2097,316355,282351,4241
2021-06-02,878,18,2830,317233,285181,4259
2021-06-03,1220,26,7622,318453,292803,4285
2021-06-04,1051,21,1734,319504,294537,4306
2021-06-05,1056,19,737,320560,295274,4325
2021-06-06,946,17,397,321506,295671,4342
2021-06-07,1688,25,971,323194,296642,4367
2021-06-08,1119,21,1035,324313,297677,4388
2021-06-09,1463,13,827,325776,298504,4401
2021-06-10,1382,20,1263,327158,299767,4421
2021-06-11,1305,16,1535,328463,301302,4437
2021-06-12,974,17,812,329437,302114,4454
2021-06-13,1379,11,745,330816,302859,4465
2021-06-14,1510,19,1812,332326,304671,4484
2021-06-15,1968,14,1258,334294,305929,4498
2021-06-16,2648,23,1628,336942,307557,4521
2021-06-17,2571,22,1156,339513,308713,4543
2021-06-18,3030,55,1395,342543,310108,4598
2021-06-19,1949,22,1141,344492,311249,4620
2021-06-20,2309,66,1101,346801,312350,4686
2021-06-21,3091,35,1428,349892,313778,4721
2021-06-22,3293,75,1209,353185,314987,4796
2021-06-23,3063,45,1294,356248,316281,4841
2021-06-24,3190,83,1606,359438,317887,4924
2021-06-25,3985,95,1524,363423,319411,5019
2021-06-26,3930,88,1494,367353,320905,5107
2021-06-27,4501,109,1564,371854,322469,5216
2021-06-28,4431,91,1582,376285,324051,5307
2021-06-29,4246,119,1607,380531,325658,5426
2021-06-30,4609,97,2570,385140,328228,5523
2021-07-01,5250,78,1703,390390,329931,5601
2021-07-02,5496,59,2215,395886,332146,5660
2021-07-03,5705,55,2756,401591,334902,5715
2021-07-04,5040,85,2541,406631,337443,5800
2021-07-05,6677,54,2097,413308,339540,5854
2021-07-06,7100,50,4396,420408,343936,5904
2021-07-07,8566,78,4304,428974,348240,5982
2021-07-08,7044,132,3755,436018,351995,6114
2021-07-09,7631,164,5427,443649,357422,6278
2021-07-10,5096,170,4488,448745,361910,6448
